label,youtube_id,time_start,time_end,split,is_cc,label_id
gymnastics tumbling,_4Exf1uim-A,143,153,train,0,147
hammer throw,_9WjjUhc86I,8,18,train,0,148
headbanging,_56G6ppE1o4,2,12,train,0,149
headbutting,_CTxEkx03FY,3,13,train,0,150
high jump,_2ynx9GQIsA,1,11,train,0,151
high kick,_3dr0KN_F3A,11,21,train,0,152
hitting baseball,_9vgkEinXn0,12,22,train,0,153
hockey stop,_aezjF_azPE,1,11,train,0,154
holding snake,_0QSRa62W7w,33,43,train,0,155
hopscotch,_9emrSyqgdI,42,52,train,0,156
hoverboarding,_5OsIl-GMeI,38,48,train,0,157
hugging,_atxFHy9xzg,656,666,train,0,158
hula hooping,_3OFkcIuoqg,31,41,train,0,159
hurdling,_g47bgn4Wjg,11,21,train,0,160
hurling (sport),_mNdhMF5OSE,3,13,train,0,161
ice climbing,_aQvQRpmDcs,60,70,train,0,162
ice fishing,_HkwlmVq2yo,598,608,train,0,163
ice skating,_4jlExAPJWc,2,12,train,0,164
ironing,_KpknJ6RIrM,73,83,train,0,165
javelin throw,_a57iNTVF4A,27,37,train,0,166
jetskiing,_5JKE5gJy8E,136,146,train,0,167
jogging,_i9tbM16Yoo,25,35,train,0,168
juggling balls,_lu3C5ziTq0,5,15,train,0,169
juggling fire,_BDcWlv9xog,79,89,train,0,170
juggling soccer ball,_yzmdvok3bg,48,58,train,0,171
jumping into pool,_9Y9GX2SKkU,18,28,train,0,172
jumpstyle dancing,_7SI_lfbEOc,208,218,train,0,173
kicking field goal,_12C3pxdltY,2,12,train,0,174
kicking soccer ball,_m-usI5-nAw,132,142,train,0,175
kissing,_bdH8sYBs6M,56,66,train,0,176
kitesurfing,_eb1q_chGyc,3,13,train,0,177
knitting,__ZH1Tl3m_g,67,77,train,0,178
krumping,_hk-QpGkLhA,11,21,train,0,179
laughing,_hywoBrmn5M,16,26,train,0,180
laying bricks,-QTcaQkCI5s,10,20,train,0,181
long jump,_BlCAqON9ao,0,10,train,0,182
lunge,_3zjJg_uL70,111,121,train,0,183
making a cake,_6h-tcx1pxA,4,14,train,0,184
making a sandwich,_AfPICAUc4M,3,13,train,0,185
making bed,_0xvqLRQvOA,74,84,train,0,186
making jewelry,_6N0YeocbZs,5,15,train,0,187
making pizza,__vhIF1_7-A,1435,1445,train,0,188
making snowman,_ChDAjhKh1Y,75,85,train,0,189
making sushi,_dbw-EJqoMY,1023,1033,train,0,190
making tea,-raeZQpNbRg,6,16,train,0,191
marching,_3V__Ert9yw,26,36,train,0,192
massaging back,_6PsMZqqduc,103,113,train,0,193
massaging feet,_llqgAq0b7I,83,93,train,0,194
massaging legs,_cxcRS3TvKw,393,403,train,0,195
massaging person's head,_-Z12q8Nlxw,2886,2896,train,0,196
milking cow,_7wa_fYlhgc,158,168,train,0,197
mopping floor,_JCoL9nqj5w,0,10,train,0,198
motorcycling,_CqOe9QO8lI,450,460,train,0,199
moving furniture,_6s_LsLdv0o,45,55,train,0,200
mowing lawn,_LJnhoYvgy8,43,53,train,0,201
news anchoring,_GlbqEhO0T0,96,106,train,0,202
opening bottle,_-WIKWZSz3I,5,15,train,0,203
opening present,_0Hem_Ny2d8,4,14,train,0,204
paragliding,_5d4ta_KA1A,43,53,train,0,205
parasailing,_myzOSOex90,2,12,train,0,206
parkour,_DU4Y4buFiA,7,17,train,0,207
passing American football (in game),_5LHTbUdW-A,4,14,train,0,208
passing American football (not in game),_ABr4llKUE8,7,17,train,0,209
peeling apples,_7T7lhUz_4E,102,112,train,0,210
peeling potatoes,_jClbO7em-Q,0,10,train,0,211
petting animal (not cat),_cmkC5973ZE,136,146,train,0,212
petting cat,_BZWFkVO4pw,3,13,train,0,213
picking fruit,_6yWukW7iNg,4,14,train,0,214
planting trees,_DKNQVJOuKQ,448,458,train,0,215
plastering,_R97zFeUXXM,169,179,train,0,216
playing accordion,_Itwe3XTjP4,21,31,train,0,217
playing badminton,_5dnsKui5xE,545,555,train,0,218
playing bagpipes,__VyFuSUl6U,64,74,train,0,219
playing basketball,_bPnNfcZSAo,263,273,train,0,220
playing bass guitar,_3doZanHkFQ,41,51,train,0,221
playing cards,_DsXKU73zI0,130,140,train,0,222
playing cello,_agNmFDZ7yA,12,22,train,0,223
playing chess,_APpWUsKGps,60,70,train,0,224
playing clarinet,_57zBYVbemI,404,414,train,0,225
playing controller,_jEFxMLELSc,130,140,train,0,226
playing cricket,__TjsSCz45Q,87,97,train,0,227
playing cymbals,_-Uvggcpohg,53,63,train,0,228
playing didgeridoo,_-AmcKwQmPs,15,25,train,0,229
playing drums,_E_zz3ryPsI,0,10,train,0,230
playing flute,_cn7QcEawdc,0,10,train,0,231
playing guitar,_bpuUw9GvV8,159,169,train,0,232
playing harmonica,_8pBmZC3o1E,4,14,train,0,233
playing harp,_3WIb1leifY,26,36,train,0,234
playing ice hockey,_7kd_mjewO4,21,31,train,0,235
playing keyboard,_E7Dp6FyF_0,13,23,train,0,236
playing kickball,_2eDN8zmgU0,364,374,train,0,237
playing monopoly,_EGC8vcSmfo,61,71,train,0,238
playing organ,_eLWrZvGJEQ,19,29,train,0,239
playing paintball,_2fF8CMtd9U,24,34,train,0,240
playing piano,_g3bpx8q9pQ,20,30,train,0,241
playing poker,_EgtzUjA3yc,59,69,train,0,242
playing recorder,_FCXrvqlz7c,2,12,train,0,243
playing saxophone,_6Qfa_c0x2Q,1,11,train,0,244
playing squash or racquetball,_5VJcnrEgbg,4,14,train,0,245
playing tennis,_5B4t4qweUA,237,247,train,0,246
playing trombone,_AQc7VBUQZM,29,39,train,0,247
playing trumpet,_1T71I8pk3M,27,37,train,0,248
playing ukulele,_dRqfb20DdU,183,193,train,0,249
playing violin,_3opdwV1QW0,50,60,train,0,250
playing volleyball,_jsEG6wG6x8,6,16,train,0,251
playing xylophone,_AJTZMh6fkc,40,50,train,0,252
pole vault,_BHeXBjlc_U,2,12,train,0,253
presenting weather forecast,_4vU-bm_VSw,46,56,train,0,254
pull ups,_-EjoTTlXVw,292,302,train,0,255
pumping fist,_Aib60sQITU,1,11,train,0,256
pumping gas,-o9dVimfAHw,263,273,train,0,257
punching bag,_CkawoNynb8,79,89,train,0,258
punching person (boxing),_a7Zl9ezq9s,206,216,train,0,259
push up,_DRaV6XOur4,1031,1041,train,0,260
pushing car,_-lccK5wvfk,15,25,train,0,261
pushing cart,__6LvmReo3Y,1,11,train,0,262
pushing wheelchair,_2lPjVv6kD8,4,14,train,0,263
reading book,__miopjdPvo,5,15,train,0,264
reading newspaper,-CFiVdQyv4E,67,train,0,265
recording music,_GvXQ_7f3vA,0,10,train,0,266
riding a bike,_3IAUsdx5C8,4,14,train,0,267
riding camel,_2mzm7QCDvc,234,244,train,0,268
riding elephant,_CpFSSNnXnA,2,12,train,0,269
riding mechanical bull,_foMqfA_ocU,7,17,train,0,270
riding mountain bike,_o2TGurVsnQ,114,124,train,0,271
riding mule,_fP3YDBw1mY,78,88,train,0,272
riding or walking with horse,_1E0tkBKIp0,56,66,train,0,273
riding scooter,_biFo5ZwuH0,4,14,train,0,274
riding unicycle,_0S3WaWwbBw,3,13,train,0,275
ripping paper,_Cy_5qTOM7c,5,15,train,0,276
robot dancing,_90EPusFyqw,27,37,train,0,277
rock climbing,_dfjw8X_wAM,250,260,train,0,278
rock scissors paper,_lyo8aqlueA,46,56,train,0,279
roller skating,_4j8iz4n9f8,41,51,train,0,280
running on treadmill,_BMzalbMtSA,0,10,train,0,281
sailing,_3TQsou86sM,235,245,train,0,282
salsa dancing,_4jZ6MJroGI,100,110,train,0,283
sanding floor,_5JZiAF6oLo,2,12,train,0,284
scrambling eggs,_8BJZetE9rg,22,32,train,0,285
scuba diving,_g9eBMSg5Eg,141,151,train,0,286
setting table,_KskkEPpRvk,23,33,train,0,287
shaking hands,_3Bj3oRp2kE,60,70,train,0,288
shaking head,_1vpcTd09Xs,0,10,train,0,289
sharpening knives,_CbPK4k-gJs,127,137,train,0,290
sharpening pencil,_0CwMXUO2po,45,55,train,0,291
shaving head,_4oxxQeQ2aM,300,310,train,0,292
shaving legs,_5UtmlGMIUc,99,109,train,0,293
shearing sheep,_0Hp-xSryLE,3,13,train,0,294
shining shoes,_JvzzRrvc_Y,20,30,train,0,295
shooting basketball,_p5WVJHjzKM,87,97,train,0,296
shooting goal (soccer),_HwRj4wmY3U,199,209,train,0,297
shot put,_0x2MljjiI0,1,11,train,0,298
shoveling snow,__K-ke-RawU,22,32,train,0,299
shredding paper,_aKCwpwu0WU,4,14,train,0,300
shuffling cards,_baJWCzqkmU,24,34,train,0,301
side kick,_kYGvbdzU18,80,90,train,0,302
sign language interpreting,__i9pst9XRQ,73,83,train,0,303
singing,_tUi_pu-OLY,2,12,train,0,304
situp,_c-9D-LFGcQ,1,11,train,0,305
skateboarding,_83yNj0-TnQ,79,89,train,0,306
ski jumping,_3d_rkfc27Q,25,35,train,0,307
skiing (not slalom or crosscountry),_-yYAA8vGSY,112,122,train,0,308
skiing crosscountry,_1mec6ewDwE,34,44,train,0,309
skiing slalom,_K1gW8uqEwg,279,289,train,0,310
skipping rope,_HCmv6WcZfg,57,67,train,0,311
skydiving,_6DJ85AGBd4,9,19,train,0,312
slacklining,_6r4Ee3IoaE,15,25,train,0,313
slapping,_tOe654jyY0,3,13,train,0,314
sled dog racing,_4insWyfuuw,19,29,train,0,315
smoking,_7cGkghjGFI,75,85,train,0,316
smoking hookah,_bR0BnYnOz8,0,10,train,0,317
snatch weight lifting,_4e1Dvn1Zuk,2,12,train,0,318
sneezing,_7qq5Imq1A8,37,47,train,0,319
sniffing,_4D9UcjJ5Ko,40,50,train,0,320
snorkeling,_0DnGg9-GNA,3,13,train,0,321
snowboarding,_bSUPPdwecA,58,68,train,0,322
snowkiting,_6FIozWYDWs,281,291,train,0,323
snowmobiling,_HbEWAXk5LM,81,91,train,0,324
somersaulting,_5l05_svlX4,4,14,train,0,325
spinning poi,_dtGtLRLKC0,84,94,train,0,326
spray painting,_8xRBMhPMZk,270,280,train,0,327
spraying,_jFAUWZwEUk,51,61,train,0,328
springboard diving,_0fQSrX8Puk,3,13,train,0,329
squat,__wQZ6MFuZM,1,11,train,0,330
sticking tongue out,_-kHeyAC64M,51,61,train,0,331
stomping grapes,_78qbIgoWM8,259,269,train,0,332
stretching arm,_e1hQUxTAHc,127,137,train,0,333
stretching leg,_9S0DO1H_b4,11,21,train,0,334
strumming guitar,_1K7Bsxvw2M,121,131,train,0,335
surfing crowd,_8o-bROEZPU,10,20,train,0,336
surfing water,__gqSMtendc,164,174,train,0,337
sweeping floor,_2ovTsSsYEg,4,14,train,0,338
swimming backstroke,_4z55dRS5Uo,8,18,train,0,339
swimming breast stroke,_hjQPBzq5bk,32,42,train,0,340
swimming butterfly stroke,_29GOPLPSZY,14,24,train,0,341
swing dancing,_GVCZKMsKb8,84,94,train,0,342
swinging legs,_nJSatX8QQ0,2,12,train,0,343
swinging on something,_fji1Fmmx68,46,56,train,0,344
sword fighting,_EJXOUCnPZ4,41,51,train,0,345
tai chi,_3UJ1mjy3Vs,57,67,train,0,346
taking a shower,_saSBqAJT5c,31,41,train,0,347
tango dancing,_3V_hWu_A5w,15,25,train,0,348
tap dancing,_EH27DJ2WzA,49,59,train,0,349
tapping guitar,_GdbOk3aObg,133,143,train,0,350
tapping pen,_2YeHUfnmVQ,9,19,train,0,351
tasting beer,_imKC-gBF-I,164,174,train,0,352
tasting food,_HeorI2WWdc,414,424,train,0,353
testifying,_LmjYMdG314,648,658,train,0,354
texting,_2FavpFQCnA,132,142,train,0,355
throwing axe,_-uTg-akuto,27,37,train,0,356
throwing ball,_gf6x5vDw30,4,14,train,0,357
throwing discus,_0T_SlKPaM4,2,12,train,0,358
tickling,_C7MR454WRA,21,31,train,0,359
tobogganing,_3N94gjWp4s,0,10,train,0,360
tossing coin,_K585ODq0a0,0,10,train,0,361
tossing salad,_Jpur5tpaGk,114,124,train,0,362
training dog,_no37h8mJtk,844,854,train,0,363
trapezing,_5Mn0vVFYos,5,15,train,0,364
trimming or shaving beard,_80uCpF5BNY,64,74,train,0,365
trimming trees,_bUSBb986MA,135,145,train,0,366
triple jump,_1sPiETVLl8,4,14,train,0,367
tying bow tie,_6buPanS92w,9,19,train,0,368
tying knot (not on a tie),_HSmpXkqpo4,3,13,train,0,369
tying tie,_8tWB3UNSzw,3,13,train,0,370
unboxing,_f2pe9rlitc,28,38,train,0,371
unloading truck,_fnuTCMbARU,19,29,train,0,372
using computer,_BLyheFo9m8,5,15,train,0,373
using remote controller (not gaming),_-6k7p_yVOM,14,24,train,0,374
using segway,_0S9ByTZPL4,3,13,train,0,375
vault,_9bwO67-UGs,1,11,train,0,376
waiting in line,_1YL1BHWanM,4,14,train,0,377
walking the dog,_0GiGMc2FtE,180,190,train,0,378
washing dishes,__h0JIDxHeg,21,31,train,0,379
washing feet,_-6lLXKEQhE,59,69,train,0,380
washing hair,0JVNAvA--WI,218,228,train,0,381
washing hands,_1CULjve7R0,92,102,train,0,382
water skiing,_0nmMN4V-gk,333,343,train,0,383
water sliding,__Fx5PVA9FI,3,13,train,0,384
watering plants,_-OjosUJwto,16,26,train,0,385
waxing back,_bsw_M6Jjn4,200,210,train,0,386
waxing chest,_6mtJoYTFwA,35,45,train,0,387
waxing eyebrows,_AMCG1F_yQg,325,335,train,0,388
waxing legs,_85VcPksBAU,50,60,train,0,389
weaving basket,_DYDGCUbwHk,60,70,train,0,390
welding,_5LGBZptOYw,1,11,train,0,391
whistling,-UIluMYcLdE,96,106,train,0,392
windsurfing,_9RC16d0JZA,46,56,train,0,393
wrapping present,_0M8JFD7wwc,10,20,train,0,394
wrestling,_UD2y2sBggc,26,36,train,0,395
writing,_FB-ZsEaM8I,240,250,train,0,396
yawning,_EJKz9eabr8,2,12,train,0,397
yoga,_efndh2U3Ng,26,36,train,0,398
zumba,_27IlPGsINY,26,36,train,0,399
